# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May  6 10:43:37 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,st_dist,st_teff,pl_disc,pl_facility,pl_pelink,pl_edelink
HD 20794 e,Radial Velocity,4,147.02000000,0.509000,0.290000,,0.01501,,6.00,5401.00,2017,La Silla Observatory,,
HD 208487 b,Radial Velocity,1,130.08000000,0.524000,0.240000,,0.52000,,44.00,6067.00,2004,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_208487_b/,http://exoplanets.org/detail/HD_208487_b
HD 208527 b,Radial Velocity,1,875.50000000,2.100000,0.080000,,9.90000,,314.48,4035.00,2012,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/hd_208527_b/,http://exoplanets.org/detail/HD_208527_b
HD 20868 b,Radial Velocity,1,380.85001000,0.950000,0.750000,,1.25000,,47.79,4802.00,2008,La Silla Observatory,http://exoplanet.eu/catalog/hd_20868_b/,http://exoplanets.org/detail/HD_20868_b
HD 208897 b,Radial Velocity,1,352.70000000,1.050000,0.070000,,1.40000,,64.68,4860.00,2017,Multiple Observatories,http://exoplanet.eu/catalog/hd_208897_b/,
HD 209458 b,Radial Velocity,1,3.52474859,,0.000000,86.710,0.73000,1.390,48.37,6091.00,1999,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_209458_b/,http://exoplanets.org/detail/HD_209458_b
HD 210193 b,Radial Velocity,1,649.91800000,1.487000,0.240000,,0.48170,,42.25,5790.00,2019,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_210193_b/,
HD 210277 b,Radial Velocity,1,442.19000000,1.130000,0.480000,,1.29000,,21.31,5538.00,1998,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_210277_b/,http://exoplanets.org/detail/HD_210277_b
HD 210702 b,Radial Velocity,1,354.10000000,1.148000,0.028000,,1.80800,,54.28,4951.00,2007,Lick Observatory,http://exoplanet.eu/catalog/hd_210702_b/,http://exoplanets.org/detail/HD_210702_b
HD 211810 b,Radial Velocity,1,1558.00000000,2.656000,0.680000,,0.67000,,64.76,5652.00,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_211810_b/,
HD 211970 b,Radial Velocity,1,25.20100000,0.143000,0.150000,,0.04090,,13.00,4127.00,2019,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_211970_b/,
HD 212301 b,Radial Velocity,1,2.24571000,0.030000,0.000000,,0.51000,,54.32,6239.00,2005,La Silla Observatory,http://exoplanet.eu/catalog/hd_212301_b/,http://exoplanets.org/detail/HD_212301_b
HD 212771 b,Radial Velocity,1,380.70000000,1.190000,0.076000,,2.39000,,111.51,5003.00,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_212771_b/,http://exoplanets.org/detail/HD_212771_b
HD 213240 b,Radial Velocity,1,882.70001000,1.890000,0.420000,,5.58000,,40.92,5979.00,2001,La Silla Observatory,http://exoplanet.eu/catalog/hd_213240_b/,http://exoplanets.org/detail/HD_213240_b
HD 213885 b,Transit,2,1.00803500,0.020120,0.000000,80.090,0.02778,0.156,47.97,5978.00,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_213885_b/,
HD 213885 c,Radial Velocity,2,4.78503000,0.056798,0.000000,,0.06277,,47.97,5978.00,2019,Multiple Observatories,http://exoplanet.eu/catalog/hd_213885_c/,
HD 21411 b,Radial Velocity,1,84.28800000,0.362000,0.400000,,0.20734,,29.16,5605.00,2019,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_21411_b/,
HD 214823 b,Radial Velocity,1,1854.40000000,3.230000,0.164100,,20.30000,,101.66,5933.00,2016,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_214823_b/,
HD 215152 b,Radial Velocity,4,5.75999000,0.057638,0.000000,,0.00572,,21.61,4935.00,2018,La Silla Observatory,http://exoplanet.eu/catalog/hd_215152_b/,
HD 215152 c,Radial Velocity,4,7.28243000,0.067393,0.000000,,0.00541,,21.61,4935.00,2018,La Silla Observatory,http://exoplanet.eu/catalog/hd_215152_c/,
HD 215152 d,Radial Velocity,4,10.86499000,0.087990,0.000000,,0.00881,,21.61,4935.00,2018,La Silla Observatory,http://exoplanet.eu/catalog/hd_215152_d/,
HD 215152 e,Radial Velocity,4,25.19670000,0.154170,0.000000,,0.00905,,21.61,4935.00,2018,La Silla Observatory,http://exoplanet.eu/catalog/hd_215152_e/,
HD 215497 b,Radial Velocity,2,3.93404000,0.050000,0.160000,,0.02000,,40.59,5110.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_215497_b/,http://exoplanets.org/detail/HD_215497_b
HD 215497 c,Radial Velocity,2,567.94000000,1.282000,0.490000,,0.33000,,40.59,5110.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_215497_c/,http://exoplanets.org/detail/HD_215497_c
HD 216435 b,Radial Velocity,1,1311.00000000,2.560000,0.070000,,1.26000,,33.01,5999.00,2002,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_216435_b/,http://exoplanets.org/detail/tau_Gru_b
HD 216437 b,Radial Velocity,1,1334.28000000,2.497000,0.317000,,2.22300,,26.71,5909.00,2002,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_216437_b/,http://exoplanets.org/detail/HD_216437_b
HD 216536 b,Radial Velocity,1,148.60001000,0.610000,0.380000,,1.05000,,380.33,4639.00,2015,McDonald Observatory,http://exoplanet.eu/catalog/hd_216536_b/,
HD 216770 b,Radial Velocity,1,118.45000000,0.460000,0.370000,,0.57000,,36.70,5399.00,2003,La Silla Observatory,http://exoplanet.eu/catalog/hd_216770_b/,http://exoplanets.org/detail/HD_216770_b
HD 21693 b,Radial Velocity,2,22.67860000,0.145500,0.120000,,0.02590,,32.38,5430.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_21693_b/,
HD 21693 c,Radial Velocity,2,53.73570000,0.258600,0.070000,,0.05470,,32.38,5430.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_21693_c/,
HD 217107 b,Radial Velocity,2,7.12682000,0.080000,0.130000,,1.30000,,20.07,5622.00,1998,Lick Observatory,http://exoplanet.eu/catalog/hd_217107_b/,http://exoplanets.org/detail/HD_217107_b
HD 217107 c,Radial Velocity,2,4270.00000000,5.320000,0.517000,,2.60000,,20.07,5622.00,2005,Lick Observatory,http://exoplanet.eu/catalog/hd_217107_c/,http://exoplanets.org/detail/HD_217107_c
HD 21749 c,Transit,2,7.78993000,0.069500,,88.900,0.01164,0.080,16.33,4640.00,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_21749_c/,
HD 217786 b,Radial Velocity,1,1319.00000000,2.380000,0.400000,,13.00000,,54.80,5966.00,2011,La Silla Observatory,http://exoplanet.eu/catalog/hd_217786_b/,http://exoplanets.org/detail/HD_217786_b
HD 217850 b,Radial Velocity,1,3501.30000000,4.560000,0.762100,,21.60000,,65.90,5544.00,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_217850_b/,
HD 218566 b,Radial Velocity,1,225.70000000,0.690000,0.300000,,0.20000,,28.85,4730.00,2010,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_218566_b/,http://exoplanets.org/detail/HD_218566_b
HD 219077 b,Radial Velocity,1,5501.00000000,6.220000,0.770000,,10.39000,,29.21,5362.00,2012,La Silla Observatory,http://exoplanet.eu/catalog/hd_219077_b/,
HD 219134 b,Radial Velocity,6,3.09292600,0.038760,0.000000,85.050,0.01491,0.143,6.53,4699.00,2015,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_219134_b/,
HD 219134 c,Radial Velocity,6,6.76458000,0.065300,0.062000,87.280,0.01372,0.135,6.53,4699.00,2015,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_219134_c/,
HD 219134 d,Radial Velocity,6,46.85900000,0.237000,0.138000,,0.05088,0.144,6.53,4699.00,2015,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_219134_d/,
HD 219134 f,Radial Velocity,6,22.71700000,0.146300,0.148000,,0.02297,0.117,6.53,4699.00,2015,Multiple Observatories,,
HD 219134 g,Radial Velocity,6,94.20000000,0.375300,0.000000,,0.03400,,6.53,4699.00,2015,Multiple Observatories,http://exoplanet.eu/catalog/hd_219134_g/,
HD 219134 h,Radial Velocity,6,2247.00000000,3.110000,0.060000,,0.34000,,6.53,4699.00,2015,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_219134_h/,
HD 219415 b,Radial Velocity,1,2093.30000000,3.200000,0.400000,,1.00000,,165.97,4820.00,2012,McDonald Observatory,http://exoplanet.eu/catalog/hd_219415_b/,
HD 219666 b,Transit,1,6.03607000,0.063560,0.000000,86.380,0.05223,0.420,94.43,5527.00,2018,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_219666_b/,
HD 219828 b,Radial Velocity,2,3.83492000,0.050700,0.101000,,0.06600,,73.27,5807.00,2007,La Silla Observatory,http://exoplanet.eu/catalog/hd_219828_b/,http://exoplanets.org/detail/HD_219828_b
HD 219828 c,Radial Velocity,2,4682.00000000,5.790000,0.810200,,14.60000,,73.27,5807.00,2016,Multiple Facilities,http://exoplanet.eu/catalog/hd_219828_c/,
HD 220074 b,Radial Velocity,1,672.09998000,1.600000,0.140000,,16.64000,,327.41,3787.00,2012,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/hd_220074_b/,http://exoplanets.org/detail/HD_220074_b
HD 220197 b,Radial Velocity,1,1728.00000000,2.729000,0.187000,,0.20000,,64.53,5683.00,2018,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_220197_b/,
HD 220689 b,Radial Velocity,1,2266.40000000,3.396000,0.054000,,1.11800,,46.94,5921.00,2012,La Silla Observatory,http://exoplanet.eu/catalog/hd_220689_b/,
HD 220773 b,Radial Velocity,1,3724.70000000,4.940000,0.510000,,1.45000,,49.00,5940.00,2011,McDonald Observatory,http://exoplanet.eu/catalog/hd_220773_b/,http://exoplanets.org/detail/HD_220773_b
HD 220842 b,Radial Velocity,1,218.47000000,0.740000,0.404000,,3.18000,,62.50,5960.00,2016,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_220842_b/,
HD 221287 b,Radial Velocity,1,456.10000000,1.250000,0.080000,,3.09000,,56.01,6304.00,2007,La Silla Observatory,http://exoplanet.eu/catalog/hd_221287_b/,http://exoplanets.org/detail/HD_221287_b
HD 221416 b,Transit,1,14.27670000,0.122800,0.115000,85.750,0.19000,0.836,95.08,5080.00,2019,Transiting Exoplanet Survey Satellite (TESS),,
HD 221420 b,Radial Velocity,1,22482.00000000,18.500000,0.420000,,9.70000,,31.17,5830.00,2019,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_221420_b/,
HD 221585 b,Radial Velocity,1,1173.00000000,2.306000,0.123000,,1.61000,,55.94,5620.00,2016,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_221585_b/,
HD 222076 b,Radial Velocity,1,871.00000000,1.830000,0.080000,,1.56000,,91.39,4806.00,2016,Multiple Observatories,http://exoplanet.eu/catalog/hd_222076_b/,
HD 222155 b,Radial Velocity,1,3999.00000000,5.140000,0.160000,,2.12000,,50.68,5701.00,2011,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_222155_b/,http://exoplanets.org/detail/HD_222155_b
HD 222582 b,Radial Velocity,1,572.38000000,1.340000,0.730000,,8.37000,,42.21,5790.00,1999,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_222582_b/,http://exoplanets.org/detail/HD_222582_b
HD 224538 b,Radial Velocity,1,1189.10000000,2.280000,0.464000,,5.97000,,79.24,6097.00,2016,Multiple Observatories,http://exoplanet.eu/catalog/hd_224538_b/,
HD 224693 b,Radial Velocity,1,26.69040000,0.191000,0.104000,,0.70000,,93.75,5894.00,2006,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_224693_b/,http://exoplanets.org/detail/HD_224693_b
HD 22781 b,Radial Velocity,1,528.07000000,1.167000,0.819100,,13.65000,,32.63,5027.00,2011,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_22781_b/,http://exoplanets.org/detail/HD_22781_b
HD 23079 b,Radial Velocity,1,730.59998000,1.600000,0.100000,,2.61000,,33.49,5974.00,2001,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_23079_b/,http://exoplanets.org/detail/HD_23079_b
HD 23127 b,Radial Velocity,1,1211.17000000,2.370000,0.406000,,1.52700,,94.11,5843.00,2006,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_23127_b/,http://exoplanets.org/detail/HD_23127_b
HD 231701 b,Radial Velocity,1,141.63000000,0.567000,0.130000,,1.13000,,109.22,6101.00,2007,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_231701_b/,http://exoplanets.org/detail/HD_231701_b
HD 233604 b,Radial Velocity,1,192.00000000,0.747000,0.050000,,6.57500,,868.63,4791.00,2013,McDonald Observatory,http://exoplanet.eu/catalog/hd_233604_b/,
HD 233832 b,Radial Velocity,1,2058.00000000,2.827000,0.359000,,1.78000,,58.84,4981.00,2018,Roque de los Muchachos Observatory,,
HD 23472 b,Transit,2,17.66700000,0.121000,0.000000,,0.05638,,39.08,,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_23472_b/,
HD 23472 c,Transit,2,29.62500000,0.170000,0.000000,,0.05405,,39.08,,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_23472_c/,
HD 23596 b,Radial Velocity,1,1561.00000000,2.770000,0.270000,,9.03000,,52.08,6040.00,2003,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_23596_b/,http://exoplanets.org/detail/HD_23596_b
HD 238914 b,Radial Velocity,1,4100.00000000,5.700000,0.560000,,6.00000,,527.24,4769.00,2018,Multiple Observatories,http://exoplanet.eu/catalog/hd_238914_b/,
HD 240210 b,Radial Velocity,1,501.75000000,1.160000,0.150000,,5.21000,,142.86,4297.00,2009,McDonald Observatory,http://exoplanet.eu/catalog/hd_240210_b/,http://exoplanets.org/detail/HD_240210_b
HD 240237 b,Radial Velocity,1,745.70001000,1.920000,0.400000,,15.89000,,958.16,3926.00,2011,McDonald Observatory,http://exoplanet.eu/catalog/hd_240237_b/,http://exoplanets.org/detail/HD_240237_b
HD 24040 b,Radial Velocity,1,3668.00000000,4.920000,0.040000,,3.86000,,46.68,5802.00,2006,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_24040_b/,http://exoplanets.org/detail/HD_24040_b
HD 24064 b,Radial Velocity,1,535.59998000,1.290000,0.350000,,12.89000,,302.86,4052.00,2015,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/hd_24064_b/,
HD 24085 b,Radial Velocity,1,2.04550000,0.034000,0.220000,,0.03713,,54.99,6034.00,2019,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_24085_b/,
HD 25015 b,Radial Velocity,1,6019.32000000,6.190000,0.390000,,4.48000,,37.47,5160.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_25015_b/,
HD 25171 b,Radial Velocity,1,1802.29000000,2.971000,0.042000,,0.91500,,55.70,6125.00,2010,La Silla Observatory,http://exoplanet.eu/catalog/hd_25171_b/,http://exoplanets.org/detail/HD_25171_b
HD 2638 b,Radial Velocity,1,3.44420000,0.040000,0.000000,,0.42000,,55.05,5186.00,2005,La Silla Observatory,http://exoplanet.eu/catalog/hd_2638_b/,http://exoplanets.org/detail/HD_2638_b
HD 2685 b,Transit,1,4.12688000,0.056800,0.091000,89.252,1.17000,1.440,197.98,6801.00,2019,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_2685_b/,
HD 26965 b,Radial Velocity,1,42.37800000,,0.040000,,0.02665,,5.04,5072.00,2018,Multiple Observatories,,
HD 27442 b,Radial Velocity,1,428.10000000,1.271000,0.060000,,1.56000,,18.28,4846.00,2000,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_27442_b/,http://exoplanets.org/detail/epsilon_Ret_b
HD 27631 b,Radial Velocity,1,2198.14000000,3.242000,0.141000,,1.49400,,50.36,5737.00,2012,La Silla Observatory,http://exoplanet.eu/catalog/hd_27631_b/,
HD 27894 b,Radial Velocity,3,18.02000000,0.125000,0.047000,,0.66500,,43.88,,2005,La Silla Observatory,http://exoplanet.eu/catalog/hd_27894_b/,http://exoplanets.org/detail/HD_27894_b
HD 27894 c,Radial Velocity,3,36.07000000,0.198000,0.015000,,0.16200,,43.88,,2017,La Silla Observatory,,
HD 27894 d,Radial Velocity,3,5174.00000000,5.448000,0.389000,,5.41500,,43.88,,2017,La Silla Observatory,,
HD 28185 b,Radial Velocity,1,379.00000000,1.020000,0.050000,,5.90000,,39.43,5662.00,2001,La Silla Observatory,http://exoplanet.eu/catalog/hd_28185_b/,http://exoplanets.org/detail/HD_28185_b
HD 28254 b,Radial Velocity,1,1116.00000000,2.150000,0.810000,,1.16000,,54.70,5664.00,2010,La Silla Observatory,http://exoplanet.eu/catalog/hd_28254_b/,http://exoplanets.org/detail/HD_28254_b
HD 285507 b,Radial Velocity,1,6.08810000,0.060000,0.090000,,0.98000,,45.09,4503.00,2013,Fred Lawrence Whipple Observatory,http://exoplanet.eu/catalog/hd_285507_b/,
HD 285968 b,Radial Velocity,1,8.78360000,0.066000,0.000000,,0.02600,,9.47,3679.00,2008,La Silla Observatory,http://exoplanet.eu/catalog/gj_176_b/,http://exoplanets.org/detail/GJ_176_b
HD 28678 b,Radial Velocity,1,380.20000000,1.180000,0.149000,,1.54200,,190.92,4972.00,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_28678_b/,http://exoplanets.org/detail/HD_28678_b
HD 29021 b,Radial Velocity,1,1362.30000000,2.280000,0.459000,,2.40000,,31.02,5560.00,2017,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_29021_b/,
HD 290327 b,Radial Velocity,1,2443.00000000,3.430000,0.080000,,2.43000,,56.52,5505.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_290327_b/,http://exoplanets.org/detail/HD_290327_b
HD 2952 b,Radial Velocity,1,311.60001000,1.230000,0.130000,,1.37000,,110.45,4844.00,2013,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/hd_2952_b/,http://exoplanets.org/detail/HD_2952_b
HD 30177 b,Radial Velocity,2,2527.83000000,3.704000,0.162000,,8.62200,,55.68,5607.00,2002,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_30177_b/,http://exoplanets.org/detail/HD_30177_b
HD 30177 c,Radial Velocity,2,11613.00000000,9.890000,0.220000,,7.60000,,55.68,5607.00,2016,Multiple Observatories,http://exoplanet.eu/catalog/hd_30177_c/,
HD 30562 b,Radial Velocity,1,1157.00000000,2.340000,0.760000,,1.22000,,26.18,5882.00,2009,Lick Observatory,http://exoplanet.eu/catalog/hd_30562_b/,http://exoplanets.org/detail/HD_30562_b
HD 30669 b,Radial Velocity,1,1684.00000000,2.690000,0.180000,,0.47000,,57.10,5400.00,2014,La Silla Observatory,http://exoplanet.eu/catalog/hd_30669_b/,
HD 30856 b,Radial Velocity,1,847.00000000,1.850000,0.061000,,1.54700,,131.70,4895.00,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_30856_b/,http://exoplanets.org/detail/HD_30856_b
HD 31253 b,Radial Velocity,1,466.00000000,1.260000,0.300000,,0.62000,,58.24,6130.00,2010,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_31253_b/,http://exoplanets.org/detail/HD_31253_b
HD 31527 b,Radial Velocity,3,16.55350000,0.125400,0.100000,,0.03290,,38.57,5898.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_31527_b/,
HD 31527 c,Radial Velocity,3,51.20530000,0.266300,0.040000,,0.04450,,38.57,5898.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_31527_c/,
HD 31527 d,Radial Velocity,3,271.67370000,0.809800,0.240000,,0.03720,,38.57,5898.00,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_31527_d/,
HD 3167 b,Transit,3,0.95962400,0.018600,,,,0.152,47.36,5528.00,2016,K2,http://exoplanet.eu/catalog/hd_3167_b/,
HD 3167 c,Transit,3,29.83832000,0.184100,,,,0.255,47.36,5528.00,2016,K2,http://exoplanet.eu/catalog/hd_3167_c/,
HD 3167 d,Radial Velocity,3,8.50900000,0.077570,0.360000,,0.02171,,47.36,5528.00,2017,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_3167_d/,
HD 32518 b,Radial Velocity,1,157.54000000,0.590000,0.010000,,3.04000,,122.55,4580.00,2009,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/hd_32518_b/,http://exoplanets.org/detail/HD_32518_b
HD 32963 b,Radial Velocity,1,2372.00000000,3.410000,0.070000,,0.70000,,38.12,5727.00,2015,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_32963_b/,
HD 330075 b,Radial Velocity,1,3.38773000,0.040000,0.000000,,0.48000,,45.36,5000.00,2004,La Silla Observatory,http://exoplanet.eu/catalog/hd_330075_b/,http://exoplanets.org/detail/HD_330075_b
HD 33142 b,Radial Velocity,2,326.00000000,1.070000,0.066000,,1.38500,,121.80,4978.00,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_33142_b/,http://exoplanets.org/detail/HD_33142_b
HD 33142 c,Radial Velocity,2,834.00000000,,0.050000,,5.97000,,121.80,4978.00,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_33142_c/,
HD 33283 b,Radial Velocity,1,18.19910000,0.150800,0.399000,,0.32900,,90.10,5935.00,2006,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_33283_b/,http://exoplanets.org/detail/HD_33283_b
HD 33564 b,Radial Velocity,1,388.00000000,1.100000,0.340000,,9.10000,,20.97,6250.00,2005,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_33564_b/,http://exoplanets.org/detail/HD_33564_b
HD 33844 b,Radial Velocity,2,551.40002000,1.600000,0.150000,,2.01000,,106.10,4861.00,2015,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_33844_b/,
HD 33844 c,Radial Velocity,2,916.00000000,2.240000,0.130000,,1.75000,,106.10,4861.00,2015,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_33844_c/,
HD 34445 b,Radial Velocity,6,1049.00000000,2.070000,0.270000,,0.82000,,46.15,5879.00,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_34445_b/,http://exoplanets.org/detail/HD_34445_b
HD 34445 c,Radial Velocity,6,214.67000000,0.718100,0.036000,,0.16800,,46.15,5879.00,2017,Multiple Observatories,http://exoplanet.eu/catalog/hd_34445_c/,
HD 34445 d,Radial Velocity,6,117.87000000,0.481700,0.027000,,0.09700,,46.15,5879.00,2017,Multiple Observatories,,
HD 34445 e,Radial Velocity,6,49.17500000,0.268700,0.090000,,0.05290,,46.15,5879.00,2017,Multiple Observatories,,
HD 34445 f,Radial Velocity,6,676.80000000,1.543000,0.031000,,0.11900,,46.15,5879.00,2017,Multiple Observatories,,
HD 34445 g,Radial Velocity,6,5700.00000000,6.360000,0.032000,,0.38000,,46.15,5879.00,2017,Multiple Observatories,,
HD 35759 b,Radial Velocity,1,82.46700000,0.389000,0.389000,,3.76000,,72.50,6060.00,2016,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_35759_b/,
HD 3651 b,Radial Velocity,1,62.25000000,0.295000,0.645000,,0.22800,,11.14,5221.00,2003,Multiple Observatories,http://exoplanet.eu/catalog/hd_3651_b/,http://exoplanets.org/detail/HD_3651_b
HD 37124 b,Radial Velocity,3,154.37800000,0.533640,0.054000,,0.67500,,31.69,,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_37124_b/,http://exoplanets.org/detail/HD_37124_b
HD 37124 c,Radial Velocity,3,885.50000000,1.710000,0.125000,,0.65200,,31.69,,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_37124_c/,http://exoplanets.org/detail/HD_37124_c
HD 37124 d,Radial Velocity,3,1862.00000000,2.807000,0.160000,,0.69600,,31.69,,2005,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_37124_d/,http://exoplanets.org/detail/HD_37124_d
HD 37605 b,Radial Velocity,2,55.01292000,0.277000,0.674500,,2.69000,,46.85,5329.00,2004,McDonald Observatory,http://exoplanet.eu/catalog/hd_37605_b/,http://exoplanets.org/detail/HD_37605_b
HD 37605 c,Radial Velocity,2,2720.00000000,3.740000,0.030000,,3.19000,,46.85,5329.00,2012,Multiple Observatories,http://exoplanet.eu/catalog/hd_37605_c/,http://exoplanets.org/detail/HD_37605_c
HD 38283 b,Radial Velocity,1,363.20001000,1.020000,0.410000,,0.40000,,38.10,5981.00,2010,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_38283_b/,http://exoplanets.org/detail/HD_38283_b
HD 38529 b,Radial Velocity,2,14.30944000,0.129400,0.280000,,0.79700,,42.41,5541.00,2000,Multiple Observatories,http://exoplanet.eu/catalog/hd_38529_b/,http://exoplanets.org/detail/HD_38529_b
HD 38529 c,Radial Velocity,2,2136.10000000,3.640000,0.340700,,12.99000,,42.41,5541.00,2000,Multiple Observatories,http://exoplanet.eu/catalog/hd_38529_c/,http://exoplanets.org/detail/HD_38529_c
HD 38801 b,Radial Velocity,1,685.25000000,1.623000,0.017000,,9.69800,,91.68,5338.00,2009,Subaru Telescope,http://exoplanet.eu/catalog/hd_38801_b/,http://exoplanets.org/detail/HD_38801_b
HD 39091 b,Radial Velocity,2,2093.07000000,3.100000,0.637000,,10.02000,,18.28,6037.00,2001,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_39091_b/,http://exoplanets.org/detail/HD_39091_b
HD 39855 b,Radial Velocity,1,3.24980000,0.041000,0.140000,,0.02674,,23.28,5576.00,2019,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_39855_b/,
HD 40307 b,Radial Velocity,5,4.31230000,0.046800,0.200000,,0.01260,,12.94,4956.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_40307_b/,http://exoplanets.org/detail/HD_40307_b
HD 40307 c,Radial Velocity,5,9.61840000,0.079900,0.060000,,0.02080,,12.94,4956.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_40307_c/,http://exoplanets.org/detail/HD_40307_c
HD 40307 d,Radial Velocity,5,20.43200000,0.132100,0.070000,,0.02990,,12.94,4956.00,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_40307_d/,http://exoplanets.org/detail/HD_40307_d
HD 40307 f,Radial Velocity,5,51.76000000,0.247000,0.020000,,0.01640,,12.94,4956.00,2013,La Silla Observatory,http://exoplanet.eu/catalog/hd_40307_f/,
